Day,type,Lot Name,Lot Number,Total Spaces,0700,1100,1400,1600
tuesday,B Permit,Hansen's Lot,420,10,40% Full,40% Full,57% Full,40% Full
tuesday,B Permit,Vet Med East Lot,421,170,21% Full,77% Full,74% Full,67% Full
tuesday,B Permit,Vet Med West Lot,422,113,No Data,No Data,No Data,No Data
tuesday,B Permit,Vet Ln. Lot,423,6,No Data,No Data,No Data,No Data
tuesday,B Permit,LADDL Lot,424,57,No Data,No Data,No Data,No Data
tuesday,B Permit,Warehouse Ln. Lot,425,41,13% Full,30% Full,40% Full,30% Full
tuesday,B Permit,University Stores B Lot,430,42,20% Full,20% Full,30% Full,30% Full
tuesday,B Permit,U-High North B Lot,510,88,72% Full,72% Full,72% Full,72% Full
tuesday,B Permit,U-High South B Lot,511,24,100% Full,54% Full,50% Full,45% Full
tuesday,B Permit,Early Learning Center B Lot,On Street,23,54% Full,91% Full,77% Full,86% Full
tuesday,B Permit,Nelson Memorial Lot,603,29,31% Full,52% Full,58% Full,44% Full
tuesday,B Permit,Tiger Band Hall B Lot,214 B,6,16% Full,0% Full,16% Full,16% Full
tuesday,B Permit,The 5 B Lot,221 A,24,95% Full,92% Full,92% Full,65% Full
tuesday,B Permit,Cogen Hall Lot,301 A,26,30% Full,96% Full,92% Full,65% Full
tuesday,B Permit,Electrical Engineering Lot,304 C,117,35% Full,94% Full,93% Full,70% Full
tuesday,B Permit,Facility Services B Lot (Fieldhouse Dr.),312 B,75,84% Full,92% Full,89% Full,95% Full
tuesday,B Permit,Sturgis Hall B Lot,312 D,70,15% Full,94% Full,98% Full,88% Full
tuesday,B Permit,E.B. Doran Hall Lot,402 B,44,16% Full,100% Full,95% Full,74% Full
tuesday,B Permit,ECE B Lot,On Street,60,3% Full,10% Full,8% Full,3% Full
tuesday,B Permit,E.B.Doran Hall (Gravel) Lot,On Street,19,16% Full,100% Full,95% Full,74% Full
tuesday,B Permit,South Quad B Lot,403 A,55,1% Full,14% Full,7% Full,7% Full
tuesday,B Permit,Engineering Ln. B Lot,On Street,56,14% Full,28% Full,39% Full,23% Full
tuesday,B Permit,Fieldhouse Dr. (Alaska St.) Lot,On Street,19,31% Full,100% Full,100% Full,100% Full
tuesday,B Permit,Fieldhouse Dr. (S. Campus Dr.) Lot,On Street,45,97% Full,100% Full,95% Full,97% Full
tuesday,B Permit,Forestry Ln. Lot,On Street,15,53% Full,66% Full,73% Full,66% Full
tuesday,B Permit,Hospital Ln. Lot,On Street,16,10% Full,10% Full,80% Full,83% Full
tuesday,B Permit,Infirmary Rd. Lot,On Street,38,5% Full,81% Full,89% Full,81% Full
tuesday,B Permit,Tower Dr. B Lot,On Street,58,68% Full,74% Full,75% Full,85% Full
tuesday,B Permit,Parade Grounds North Lot,On Street,40,50% Full,97% Full,97% Full,92% Full
tuesday,B Permit,Parade Grounds South Lot,On Street,61,21% Full,100% Full,98% Full,95% Full
tuesday,B Permit,North Stadium Dr. Lot,On Street,27,44% Full,66% Full,81% Full,100% Full
tuesday,B Permit,Parker Coliseum B Lot,On Street,37,5% Full,100% Full,100% Full,97% Full
wednesday,Commuter,West Stadium Lot,101,221,19% Full,82% Full,79% Full,74% Full
wednesday,Commuter,Bernie Moore Lot,104,191,4% Full,89% Full,67% Full,21% Full
wednesday,Commuter,Natatorium Lot,105,315,27% Full,32% Full,35% Full,42% Full
wednesday,Commuter,Touchdown Village West Lot,314,1364,2% Full,96% Full,92% Full,65% Full
wednesday,Commuter,Touchdown Village East Lot,315,1221,1% Full,47% Full,41% Full,21% Full
wednesday,Commuter,West Parker Blvd. Lot,316,206,6% Full,16% Full,10% Full,3% Full
wednesday,Commuter,South Stadium East Lot,401,328,4% Full,99% Full,99% Full,4% Full
wednesday,Commuter,South Stadium West Lot,401,529,3% Full,99% Full,99% Full,4% Full
wednesday,Commuter,South Quad Dr. West Lot,403,441,3% Full,97% Full,98% Full,96% Full
wednesday,Commuter,Skip Bertman Dr. East Lot,404,641,3% Full,26% Full,24% Full,18% Full
wednesday,Commuter,East Parker Blvd. Lot,604,504,16% Full,48% Full,42% Full,85% Full
wednesday,Commuter,ECE West Lot,402,285,20% Full,17% Full,86% Full,41% Full
wednesday,Commuter,Parker Coliseum Lot,600,494,36% Full,99% Full,91% Full,73% Full
wednesday,Residential,Canal Hall North Lot,111,85,100% Full,88% Full,85% Full,75% Full
wednesday,Residential,Nicholson Gateway North Lot,112,423,98% Full,93% Full,88% Full,86% Full
wednesday,Residential,Beach Volleyball Lot,206,121,97% Full,98% Full,97% Full,97% Full
wednesday,Residential,Spruce Hall Lot,210,125,98% Full,95% Full,97% Full,98% Full
wednesday,Residential,Alaska Street Lot (WCA West),211,427,85% Full,84% Full,86% Full,85% Full
wednesday,Residential,Kirby Smith Hall Lot,211,189,99% Full,96% Full,99% Full,99% Full
wednesday,Residential,North Kirby Smith Hall Lot (WCA North),211,219,54% Full,65% Full,53% Full,52% Full
wednesday,Residential,Aster Street West Lot,212,176,5% Full,16% Full,20% Full,3% Full
wednesday,Residential,Aster Street East Lot,213,200,10% Full,10% Full,11% Full,8% Full
wednesday,Residential,Alaska Street East Lot (Cypress Dr. North),219,266,65% Full,68% Full,68% Full,48% Full
wednesday,Residential,Broussard Circle Lot,220,19,100% Full,100% Full,95% Full,95% Full
wednesday,Residential,Pentagon Lot,220,65,100% Full,100% Full,98% Full,97% Full
wednesday,Residential,Acadian Lot,506,141,96% Full,100% Full,98% Full,99% Full
wednesday,Residential,Blake Hall Lot,507,93,99% Full,98% Full,98% Full,98% Full
wednesday,Residential,Campus Lake Gravel Lot,508,134,92% Full,97% Full,98% Full,94% Full
wednesday,Residential,Herget Hall Lot,508,230,98% Full,99% Full,98% Full,98% Full
wednesday,Residential,Miller Hall Lot,508,177,99% Full,98% Full,98% Full,99% Full
wednesday,Residential,Hill Farm Student Lot,515,298,0% Full,0% Full,98% Full,90% Full
wednesday,Residential,Student Rec West Lot,517,100,88% Full,92% Full,90% Full,94% Full
wednesday,Residential,Parker Coliseum Lot,600,494,36% Full,99% Full,91% Full,73% Full
wednesday,Residential,South Stadium Dr. East Lot,601,125,0% Full,78% Full,90% Full,0% Full
wednesday,Residential,Nicholson Gateway Garage (Level 1),701,134,93% Full,96% Full,88% Full,78% Full
wednesday,Residential,Nicholson Gateway Garage (Level 2),701,146,87% Full,88% Full,71% Full,55% Full
wednesday,Residential,Nicholson Gateway Garage (Level 3),701,170,32% Full,30% Full,25% Full,24% Full
wednesday,Residential,Nicholson Gateway Garage (Level 4),701,171,8% Full,8% Full,8% Full,6% Full
wednesday,Residential,Nicholson Gateway Garage (Level 5),701,178,0% Full,2% Full,1% Full,0% Full
wednesday,Residential,East Campus Apartments (East Lot),504 A,191,100% Full,99% Full,100% Full,100% Full
wednesday,Residential,East Campus Apartments (West Lot),504 B,218,100% Full,99% Full,100% Full,100% Full
wednesday,Residential,Corporate Canal South Lot,518 B,81,86% Full,70% Full,84% Full,78% Full
wednesday,Residential,Campus Lake - South Campus Lot (McVoy Hall),Street,18,83% Full,83% Full,89% Full,100% Full
wednesday,Residential,South Campus Street (Bridge) Lot,Street,105,93% Full,91% Full,95% Full,97% Full
wednesday,Residential,South Stadium / East Parker / Highland Rd. (Street) Lot,Street,172,61% Full,73% Full,62% Full,60% Full
wednesday,Greek,Fraternity Circle Lot,501,94,77% Full,87% Full,93% Full,83% Full
wednesday,Greek,Greek Row Central Lot,521,203,44% Full,62% Full,69% Full,48% Full
wednesday,Greek,Greek Row South Lot,523,84,88% Full,95% Full,96% Full,57% Full
wednesday,Greek,Greek Row North Lot,524,141,0% Full,19% Full,36% Full,3% Full
wednesday,Greek,Fraternity Ln. Lot (Street),500A,25,52% Full,68% Full,80% Full,44% Full
wednesday,Greek,Fraternity Ln. Lot,500B,53,54% Full,91% Full,87% Full,85% Full
wednesday,Greek,Fraternity Ln. East Lot (Gravel),500B,41,80% Full,78% Full,71% Full,66% Full
wednesday,Greek,Fraternity Ln. North Lot,500C,83,94% Full,96% Full,90% Full,83% Full
wednesday,Greek,Greek Row West Lot,520,84,98% Full,99% Full,94% Full,57% Full
wednesday,Greek,West Lakeshore North Lot,513,116,59% Full,81% Full,67% Full,64% Full
wednesday,B Permit,West State St. Lot,218,55,78% Full,85% Full,76% Full,73% Full
wednesday,B Permit,Donahue Street Lot,220,18,11% Full,100% Full,33% Full,78% Full
wednesday,B Permit,Old Band Hall (Gravel) Lot,222,26,73% Full,15% Full,8% Full,15% Full
wednesday,B Permit,312 A (Gravel),312,30,13% Full,27% Full,100% Full,73% Full
wednesday,B Permit,Public Safety Lot,400,42,19% Full,19% Full,21% Full,21% Full
wednesday,B Permit,Hansen's Lot,420,10,20% Full,20% Full,20% Full,10% Full
wednesday,B Permit,Vet Med East Lot,421,170,21% Full,25% Full,75% Full,61% Full
wednesday,B Permit,Vet Med West Lot,422,113,No Data,No Data,No Data,No Data
wednesday,B Permit,Vet Ln. Lot,423,6,No Data,No Data,No Data,No Data
wednesday,B Permit,LADDL Lot,424,57,No Data,No Data,No Data,No Data
wednesday,B Permit,Warehouse Ln. Lot,425,41,13% Full,30% Full,50% Full,60% Full
wednesday,B Permit,University Stores B Lot,430,42,20% Full,30% Full,30% Full,25% Full
wednesday,B Permit,U-High North B Lot,510,88,93% Full,99% Full,99% Full,98% Full
wednesday,B Permit,U-High South B Lot,511,24,79% Full,71% Full,75% Full,46% Full
wednesday,B Permit,Early Learning Center B Lot,On Street,23,54% Full,91% Full,77% Full,86% Full
wednesday,B Permit,Nelson Memorial B Lot,603,29,31% Full,52% Full,58% Full,44% Full
wednesday,B Permit,Tiger Band Hall B Lot,214 B,6,17% Full,0% Full,100% Full,83% Full
wednesday,B Permit,The 5 B Lot,221 A,24,95% Full,92% Full,95% Full,82% Full
wednesday,B Permit,Cogen Lot,301 A,26,65% Full,88% Full,96% Full,62% Full
wednesday,B Permit,Electrical Engineering B Lot,304 A,117,40% Full,94% Full,97% Full,76% Full
wednesday,B Permit,Facility Services Lot (Fieldhouse Dr.),304 C,75,67% Full,85% Full,89% Full,84% Full
wednesday,B Permit,Sturgis Hall B Lot (312A),312 B,70,14% Full,94% Full,97% Full,87% Full
wednesday,B Permit,E.B. Doran Hall Lot,312 D,44,32% Full,100% Full,100% Full,100% Full
wednesday,B Permit,ECE B Lot,402 B,60,32% Full,100% Full,100% Full,100% Full
wednesday,B Permit,E.B Doran Hall (Gravel) Lot,On Street,19,20% Full,80% Full,90% Full,75% Full
wednesday,B Permit,South Quad B (Gravel) Lot,403 A,55,2% Full,4% Full,5% Full,7% Full
wednesday,B Permit,Engineering Ln. Lot,On Street,56,14% Full,28% Full,39% Full,23% Full
wednesday,B Permit,Fieldhouse Dr. (Alaska St.) Lot,On Street,19,21% Full,100% Full,100% Full,100% Full
wednesday,B Permit,Fieldhouse Dr. (S. Campus Dr.) Lot,On Street,45,98% Full,100% Full,98% Full,100% Full
wednesday,B Permit,Forestry Ln. Lot,On Street,15,87% Full,93% Full,93% Full,100% Full
wednesday,B Permit,Hospital Ln. Lot,On Street,16,0% Full,17% Full,83% Full,83% Full
wednesday,B Permit,Infirmary Rd. Lot,On Street,38,3% Full,92% Full,97% Full,95% Full
wednesday,B Permit,Tower Dr. B Lot,On Street,58,78% Full,80% Full,95% Full,85% Full
wednesday,B Permit,Parade Grounds North Lot,On Street,40,50% Full,100% Full,98% Full,100% Full
wednesday,B Permit,Parade Grounds South Lot,On Street,61,31% Full,100% Full,100% Full,90% Full
wednesday,B Permit,North Stadium Dr. Lot,On Street,27,67% Full,74% Full,56% Full,41% Full
wednesday,B Permit,Parker Coliseum B Lot,On Street,37,76% Full,100% Full,100% Full,87% Full
thursday,Commuter,West Stadium Lot,101,221,19% Full,82% Full,79% Full,74% Full
thursday,Commuter,Bernie Moore Lot,104,191,4% Full,89% Full,67% Full,21% Full
thursday,Commuter,Natatorium Lot,105,315,27% Full,32% Full,35% Full,42% Full
thursday,Commuter,Touchdown Village West Lot,314,1364,2% Full,96% Full,92% Full,65% Full
thursday,Commuter,Touchdown Village East Lot,315,1221,1% Full,47% Full,41% Full,21% Full
thursday,Commuter,West Parker Blvd. Lot,316,206,6% Full,16% Full,10% Full,3% Full
thursday,Commuter,South Stadium East Lot,401,328,4% Full,99% Full,99% Full,4% Full
thursday,Commuter,South Stadium West Lot,401,529,3% Full,99% Full,99% Full,4% Full
thursday,Commuter,South Quad Dr. West Lot,403,441,3% Full,97% Full,98% Full,96% Full
thursday,Commuter,Skip Bertman Dr. East Lot,404,641,3% Full,26% Full,24% Full,18% Full
thursday,Commuter,East Parker Blvd. Lot,604,504,10% Full,41% Full,43% Full,1% Full
thursday,Commuter,ECE West Lot,402,285,20% Full,17% Full,86% Full,41% Full
thursday,Commuter,Parker Coliseum Lot,600,494,33% Full,90% Full,89% Full,65% Full
thursday,Residential,Canal Hall North Lot,111,85,100% Full,96% Full,88% Full,82% Full
thursday,Residential,Nicholson Gateway North Lot,112,423,97% Full,95% Full,93% Full,96% Full
thursday,Residential,Beach Volleyball Lot,206,121,100% Full,97% Full,97% Full,98% Full
thursday,Residential,Spruce Hall Lot,210,125,98% Full,95% Full,93% Full,96% Full
thursday,Residential,Alaska Street Lot (WCA West),211,427,88% Full,89% Full,85% Full,87% Full
thursday,Residential,Kirby Smith Hall Lot,211,189,99% Full,98% Full,98% Full,99% Full
